regionName,statename,StateCodeFIPs,JulyValue16,JulyValue17,Julyvalue18,Julyvalue19,Julyvalue20,Julyvalue21,JanValue22,Febvalue22,MarValue22,AprValue22,MayValue22,JunValue22,JulyValue22,2020HousingUnits,2021HousingUnits,pop20,pop21,Unemployment_rate_2016,unemployment_rate_2017,unemployment_rate_2018,unemployment_rate_2019,unemployment_rate_2020,unemployment_rate_2021,MedHHIncome2020,MedHHIncomePercent2020
Jefferson County,OH,39,0,0,78697,84222,86660,98637,105554,107354,107778,107957,108352,109431,110329,31112,31081,65107,64789,8.4,7.3,6.3,5.9,10.1,6.5,"49,642",82.2
Marion County,OH,39,88549,91324,96003,104229,105166,120172,128763,130766,131255,131758,132419,133904,135331,27345,27357,65363,65291,5.1,5,4.4,4.1,7.6,4.7,"52,226",86.5
Lawrence County,OH,39,91597,95933,102586,107274,108602,121646,127771,129380,129688,129862,130026,131235,132540,26501,26519,58132,57445,6.6,5.9,5.6,5.2,8.5,5.1,"47,299",78.4
Washington County,OH,39,108969,115265,122623,130366,135748,152951,161876,164016,164432,164842,165359,167081,168815,27983,27969,59613,59423,7,6.2,5.6,5.4,8.6,5.5,"53,450",88.6
Sandusky County,OH,39,102779,109147,115976,121699,125348,140613,149096,151181,151743,152167,152701,154187,155004,26480,26496,58832,58715,4.8,4.7,4.5,4.3,8.1,5.2,"60,455",100.2
Knox County,OH,39,115098,126896,139806,153119,162823,187152,200231,203361,204439,205492,206627,209003,211511,25821,25920,62765,62897,4.7,4.5,4.3,4,6.2,4,"68,050",112.7
Huron County,OH,39,101896,107497,112323,119665,124487,141330,152030,154350,155043,155402,155636,156724,157691,25498,25507,58439,58367,6.6,6.4,5.9,5.8,9.5,5.8,"62,143",103
Seneca County,OH,39,93890,98541,104007,109654,113283,127753,136424,138244,138595,138850,139336,140987,142691,23948,23973,54990,54906,4.9,4.7,4.4,4.2,8.1,4.7,"58,129",96.3
Pickaway County,OH,39,153246,162583,173068,183949,192741,215268,229960,233525,234512,235462,236560,239182,241786,22404,22540,58628,59333,4.9,4.6,4.3,4,6.8,4.5,"64,412",106.7
Darke County,OH,39,126634,130034,136449,141471,144357,162610,172418,174907,175511,175929,175589,176316,177094,22605,22645,51882,51597,4.1,4.2,3.9,3.7,6.7,3.9,"57,932",96
Union County,OH,39,214535,227670,258273,263277,279469,308664,333573,337738,341519,346063,349867,354726,359412,23281,24130,63077,64971,3.8,3.7,3.5,3.2,5.8,3.5,"92,198",152.7
Shelby County,OH,39,129534,136009,144487,152903,158872,180260,192322,195031,195545,195990,196629,198737,200773,20064,20116,48119,47977,4.2,4.1,3.7,3.6,7.7,4.2,"67,582",112
Logan County,OH,39,120428,127817,136040,145619,152991,171066,181553,184244,184830,185474,186127,188250,189664,23675,23789,46065,46035,4.2,4.1,3.7,3.7,8.2,4.1,"61,797",102.4
